Cell ID,Spot ID,80K Spots Position X,80K Spots Position Y,80K Spots Position Z
0,600000000,193.722,175.733,0.0998975
0,600000001,192.895,176.727,0.0998975
0,600000002,193.828,177.462,0.0998975
8,600000003,178.173,178.22,0.0998975
7,600000004,187.065,178.285,0.0998975
0,600000005,190.754,178.186,0.0998975
8,600000006,176.811,178.739,0.0998975
0,600000007,192.296,178.648,0.0998975
7,600000008,183.826,178.79,0.0998975
7,600000009,187.678,178.963,0.0998975
7,600000010,189.421,179.012,0.0998975
8,600000011,179.755,179.347,0.0998975
8,600000012,180.436,179.288,0.0998975
7,600000013,186.453,179.2,0.0998975
7,600000014,190.611,180.123,0.0998975
8,600000015,178.899,180.92,0.0998975
7,600000016,184.118,180.924,0.0998975
8,600000017,182.416,181.265,0.0998975
7,600000018,186.806,181.434,0.0998975
7,600000019,188.737,181.429,0.0998975
8,600000020,180.204,181.677,0.0998975
10,600000021,191.157,181.553,0.0998975
8,600000022,178.788,182.056,0.0998975
10,600000023,193.511,182.168,0.0998975
9,600000024,185.861,182.457,0.0998975
10,600000025,190.32,182.352,0.0998975
8,600000026,177.494,182.765,0.0998975
9,600000027,187.482,182.815,0.0998975
10,600000028,191.936,182.934,0.0998975
9,600000029,180.869,183.173,0.0998975
9,600000030,183.05,183.19,0.0998975
9,600000031,184.527,183.141,0.0998975
9,600000032,185.729,183.129,0.0998975
10,600000033,189.213,183.235,0.0998975
8,600000034,177.196,183.492,0.0998975
9,600000035,182.825,183.795,0.0998975
9,600000036,187.634,184.06,0.0998975
10,600000037,190.72,183.949,0.0998975
8,600000038,178.015,184.376,0.0998975
10,600000039,192.743,184.284,0.0998975
9,600000040,184.384,184.837,0.0998975
10,600000041,189.939,184.473,0.0998975
8,600000042,177.786,185.107,0.0998975
9,600000043,179.412,185.01,0.0998975
9,600000044,182.077,185.21,0.0998975
10,600000045,191.801,184.981,0.0998975
12,600000046,173.673,185.448,0.0998975
9,600000047,184.193,185.546,0.0998975
9,600000048,186.573,185.471,0.0998975
10,600000049,190.133,185.49,0.0998975
10,600000050,193.237,185.312,0.0998975
13,600000051,166.882,185.644,0.0998975
12,600000052,176.818,185.897,0.0998975
13,600000053,163.81,186.171,0.0998975
13,600000054,166.118,186.293,0.0998975
13,600000055,169.453,186.266,0.0998975
12,600000056,175.732,186.082,0.0998975
12,600000057,178.912,186.242,0.0998975
10,600000058,189.945,186.293,0.0998975
