Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
0,194.856,178.306,5,2.014705882,0.3125,0.02388535
1,196.222,188.934,6,2.84,0.24,0.030573248
2,156.695,193.631,3,9.642857143,0.394736842,0.047770701
3,169.69,196.13,38,6.753787879,0.390243902,0.101910828
4,188.193,192.427,8,8.320699708,0.166666667,0.038216561
5,193.83,194.127,7,2.567708333,0.141666667,0.018046709
6,176.343,194.094,18,4.139837398,0.337398374,0.088110403
7,188.279,180.357,2,1.888888889,0.533333333,0.033970276
8,178.448,181.495,14,1.418604651,0.236842105,0.02866242
9,184.139,185.044,10,3.144736842,0.280701754,0.033970276
10,191.706,185.618,7,1.30075188,0.202380952,0.015468608
12,176.419,187.857,19,4.631578947,0.194594595,0.045859873
13,169.14,189.428,37,4.072519084,0.368421053,0.089171975
15,182.456,191.289,16,5.527102804,0.216666667,0.049681529
16,163.768,193.116,19,10.90366972,0.394736842,0.095541401
17,149.794,194.235,0,2.125,0,0.006369427
18,290.785,170.79,0,3,0,0.00477707
19,290.483,177.829,0,3,0.291666667,0.007430998
20,293.681,183.556,0,4.180952381,0.306122449,0.013648772
21,294.17,191.351,0,2.274725275,0.371428571,0.011828935
22,219.729,197.23,102,2.236511156,0.233333333,0.151592357
23,225.413,196.456,79,3.235,0.141176471,0.091719745
24,235.971,192.944,33,11.90132371,0.252252252,0.118895966
25,241.754,195.497,7,13.37037037,0.345238095,0.092356688
26,249.94,196.753,2,2,0.514285714,0.032757052
27,257.282,194.559,5,11.04615385,0.320512821,0.053078556
28,268.572,194.628,57,7.778103617,0.213675214,0.106157113
29,282.177,194.405,5,23.10105263,0.28627451,0.092993631
30,285.55,198.726,3,10.32638889,0.22,0.035031847
31,291.033,196.521,2,1.266666667,0.466666667,0.008917197
33,273.589,169.656,30,12.265625,0.290322581,0.114649682
34,280.225,167.85,13,8.021505376,0.333333333,0.063694268
35,240.484,168.706,2,21.20138889,0.485294118,0.105095541
36,246.569,168.927,0,0.928571429,0.583333333,0.011146497
37,260.13,171.338,10,16.20588235,0.403846154,0.100318471
38,231.395,171.199,34,13.20391061,0.340909091,0.119426752
39,266.991,171.141,39,10.35672515,0.282258065,0.111464968
40,252.144,171.812,1,4.16,0.32,0.020382166
41,284.738,172.429,3,7.8,0.375,0.038216561
42,224.475,173.581,55,5.341750842,0.207792208,0.101910828
43,236.519,174.483,33,16.26748971,0.348484848,0.122080679
44,216.908,174.05,77,3.520771513,0.176829268,0.092356688
45,243.634,174.694,3,19.76,0.227272727,0.047770701
46,278.308,174.939,16,20.59293395,0.294930876,0.116469518
47,271.626,175.813,62,5.80617284,0.440860215,0.174097665
48,210.45,174.787,47,4.150823828,0.304878049,0.159235669
49,249.858,178.034,1,4.914285714,0.257142857,0.016378526
50,264.41,176.993,30,13.30805687,0.293010753,0.115711253
51,201.04,176.42,8,29.28455285,0.32748538,0.118895966
52,257.209,177.197,5,13.85294118,0.327777778,0.062632696
53,229.578,178.825,55,8.267175573,0.247252747,0.122838944
54,283.918,178.095,4,7.175,0.325,0.033121019
55,206.515,179.289,57,19.34567901,0.363414634,0.189808917
56,221.624,179.256,76,2.312412831,0.146341463,0.076433121
57,213.585,181.204,82,4.096,0.271777003,0.141947225
58,242.588,180.95,10,13.42857143,0.404040404,0.08492569
59,236.031,181.474,25,7.212903226,0.24,0.084076433
60,274.524,181.029,49,11.6004415,0.286069652,0.122080679
61,261.891,183.036,21,14.55813953,0.348484848,0.097664544
62,200.052,183.699,12,18.40601504,0.250626566,0.090991811
63,254.218,183.039,0,13.51111111,0.238095238,0.031847134
64,268.448,182.492,44,5.918699187,0.239247312,0.09447983
65,280.674,182.612,9,30.21786492,0.298507463,0.127388535
66,287.497,184.523,0,4.666666667,0.380952381,0.021838035
67,248.106,184.898,0,14.56818182,0.282051282,0.04670913
68,219.371,184.561,55,2.349450549,0.263157895,0.159235669
69,225.899,185.936,78,5.517730496,0.192982456,0.116772824
70,232.419,186.197,37,10.58130081,0.262820513,0.130573248
71,207.359,185.894,37,14.03946002,0.296747967,0.154989384
72,240.225,187.488,26,10.47389163,0.382239382,0.090081893
73,276.838,187.218,67,15.76987448,0.486567164,0.207643312
74,270.962,188.223,55,3.265520535,0.15920398,0.067940552
75,258.045,188.284,3,14.11272727,0.376923077,0.062420382
76,214.242,188.437,69,6.570898293,0.196491228,0.118895966
77,264.138,189.88,26,15.14285714,0.330827068,0.12010919
78,282.644,188.73,8,35.47086247,0.2960199,0.126326964
79,201.779,191.449,20,10.95551754,0.327922078,0.091901729
80,221.072,190.715,95,3.418348624,0.218954248,0.142250531
81,245.746,191.007,7,13.82857143,0.292307692,0.048407643
82,251.948,190.607,0,3.137254902,0.404761905,0.018046709
83,288.004,191.32,3,3.040816327,0.303571429,0.015468608
84,208.77,192.802,44,6.995846314,0.234299517,0.102972399
85,230.225,192.264,74,7.162674095,0.260759494,0.131210191
86,276.04,193.747,51,14.26568758,0.304904051,0.130118289
87,296.175,198.666,0,3.224489796,0.285714286,0.012738854
88,300.526,193.587,3,9.102564103,0.325757576,0.045647558
89,306.517,195.432,15,11.12362031,0.333333333,0.091295117
90,325.941,196.248,2,20.14285714,0.164502165,0.034576888
91,331.878,197.229,0,1.166666667,0.466666667,0.014861996
92,343.602,191.746,5,5.229508197,0.242424242,0.033970276
