Cell_ID,Centroid,Cell Position X,Cell Position Y,Fano factor,PV,NV
0,78,194.856,178.306,11.46111111,0.278688525,0.177083333
1,64,196.222,188.934,4.998045603,0.370967742,0.239583333
2,50,156.695,193.631,13.49333333,0.32079646,0.188802083
3,146,169.69,196.13,2.711135612,0.140522876,0.111979167
4,124,188.193,192.427,7.907711757,0.154833191,0.134672619
5,108,193.83,194.127,6.940044743,0.167808219,0.127604167
6,153,176.343,194.094,1.333008763,0.071856287,0.0625
7,103,188.279,180.357,5.327217125,0.185463659,0.128472222
8,110,178.448,181.495,2.333333333,0.197916667,0.1484375
9,133,184.139,185.044,2.49343832,0.11328976,0.090277778
10,122,191.706,185.618,5.259152052,0.175080559,0.121279762
12,144,176.419,187.857,2.286977887,0.112418301,0.089583333
13,121,169.14,189.428,3.368618619,0.161764706,0.12890625
15,153,182.456,191.289,1.641189931,0.086227545,0.075
16,102,163.768,193.116,11.80733083,0.215753425,0.1640625
17,40,149.794,194.235,12.09045226,0.289285714,0.10546875
18,0,290.785,170.79,0,0,0
19,0,290.483,177.829,0,0,0
20,0,293.681,183.556,0,0,0
21,0,294.17,191.351,0,0,0
22,1,219.729,197.23,5.04,0.4,0.027083333
23,0,225.413,196.456,2.3,0.4,0.008333333
24,0,235.971,192.944,0,0,0
25,0,241.754,195.497,0,0,0
26,0,249.94,196.753,0,0,0
27,0,257.282,194.559,0,0,0
28,0,268.572,194.628,0,0,0
29,0,282.177,194.405,0,0,0
30,0,285.55,198.726,0,0,0
31,0,291.033,196.521,0,0,0
33,0,273.589,169.656,0,0,0
34,0,280.225,167.85,0,0,0
35,0,240.484,168.706,0,0,0
36,0,246.569,168.927,0,0,0
37,0,260.13,171.338,0,0,0
38,0,231.395,171.199,0,0,0
39,0,266.991,171.141,0,0,0
40,0,252.144,171.812,0,0,0
41,0,284.738,172.429,0,0,0
42,0,224.475,173.581,3.916666667,0.3,0.0078125
43,0,236.519,174.483,0,0,0
44,5,216.908,174.05,5.293103448,0.458333333,0.028645833
45,0,243.634,174.694,0,0,0
