Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
0,194.856,178.306,40,10.68145161,0.278481013,0.115789474
1,196.222,188.934,31,10.04507042,0.265,0.111578947
2,156.695,193.631,23,3.845360825,0.387254902,0.103947368
3,169.69,196.13,47,2.220606061,0.202614379,0.054385965
4,188.193,192.427,37,2.217142857,0.148148148,0.042105263
5,193.83,194.127,40,7.373831776,0.189583333,0.079824561
6,176.343,194.094,34,4.173177083,0.209876543,0.059649123
7,188.279,180.357,33,0.868686869,0.116666667,0.024561404
8,178.448,181.495,35,2.523255814,0.271428571,0.05
9,184.139,185.044,32,1.179844961,0.121621622,0.023684211
10,191.706,185.618,27,4.430420712,0.192546584,0.069924812
12,176.419,187.857,19,1.249438202,0.365714286,0.067368421
13,169.14,189.428,26,3.985207101,0.281914894,0.069736842
15,182.456,191.289,32,3.688461538,0.155555556,0.044210526
16,163.768,193.116,43,4.236842105,0.240196078,0.064473684
17,149.794,194.235,29,3.561797753,0.234375,0.059210526
18,290.785,170.79,0,0,0,0
19,290.483,177.829,0,0.833333333,0,0.001754386
20,293.681,183.556,0,0.857142857,0,0.001503759
21,294.17,191.351,1,0.857142857,0,0.004511278
22,219.729,197.23,105,2.220645161,0.114754098,0.073684211
23,225.413,196.456,122,2.501960784,0.196721311,0.126315789
24,235.971,192.944,57,3.201622971,0.247368421,0.123684211
25,241.754,195.497,54,1.572916667,0.147679325,0.061403509
26,249.94,196.753,58,1.146881288,0.116071429,0.039097744
27,257.282,194.559,41,8.86770428,0.247126437,0.075438596
28,268.572,194.628,8,5.341085271,0.303921569,0.027192982
29,282.177,194.405,0,0,0,0
30,285.55,198.726,0,1,0,0.000877193
31,291.033,196.521,0,1,0,0.001052632
33,273.589,169.656,2,4.69047619,0.270833333,0.017105263
34,280.225,167.85,1,1.111111111,0.444444444,0.007017544
35,240.484,168.706,40,6.080204778,0.325657895,0.130263158
36,246.569,168.927,37,4.874501992,0.217105263,0.086842105
37,260.13,171.338,17,8.980769231,0.316666667,0.075
38,231.395,171.199,65,6.040389972,0.223404255,0.110526316
39,266.991,171.141,12,5.05,0.411764706,0.036842105
40,252.144,171.812,45,8.495522388,0.210526316,0.084210526
41,284.738,172.429,0,1.64,0,0.005263158
42,224.475,173.581,94,3.346491228,0.13963964,0.081578947
43,236.519,174.483,75,3.316129032,0.160784314,0.071929825
44,216.908,174.05,111,3.9749499,0.162601626,0.105263158
45,243.634,174.694,76,4.561954625,0.328947368,0.131578947
46,278.308,174.939,3,1.025974026,0.619047619,0.009774436
47,271.626,175.813,3,5.722222222,0.302083333,0.025438596
48,210.45,174.787,70,5.073891626,0.341463415,0.221052632
49,249.858,178.034,53,3.543325527,0.156015038,0.062406015
50,264.41,176.993,16,9.104519774,0.25,0.052631579
51,201.04,176.42,79,9.108045977,0.235294118,0.126315789
52,257.209,177.197,40,10.66666667,0.264285714,0.097368421
53,229.578,178.825,85,2.479591837,0.13037448,0.070676692
54,283.918,178.095,1,1.2,0.266666667,0.004210526
55,206.515,179.289,102,5.010351201,0.183739837,0.118947368
56,221.624,179.256,101,5.546407186,0.14498645,0.093859649
57,213.585,181.204,123,5.661432401,0.276422764,0.178947368
58,242.588,180.95,56,2.112820513,0.175324675,0.071052632
59,236.031,181.474,68,1.464253394,0.136470588,0.061052632
60,274.524,181.029,0,1.62745098,0.472222222,0.014912281
61,261.891,183.036,24,18.03104575,0.29047619,0.107017544
62,200.052,183.699,69,13.28734383,0.268907563,0.144360902
63,254.218,183.039,70,4.256410256,0.392857143,0.144736842
64,268.448,182.492,6,8.655367232,0.284722222,0.035964912
65,280.674,182.612,1,1,0.222222222,0.003508772
66,287.497,184.523,1,0.571428571,0,0.003007519
67,248.106,184.898,50,2.063948841,0.158008658,0.064035088
68,219.371,184.561,51,6.821843003,0.455284553,0.294736842
69,225.899,185.936,103,5.012092534,0.165254237,0.102631579
70,232.419,186.197,81,3.002944641,0.131067961,0.071052632
71,207.359,185.894,98,3.765567766,0.14498645,0.093859649
72,240.225,187.488,77,1.983375599,0.206349206,0.087969925
73,276.838,187.218,1,1.64,0,0.005263158
74,270.962,188.223,3,3.253333333,0.416666667,0.01754386
75,258.045,188.284,41,11.89217391,0.245714286,0.090526316
76,214.242,188.437,90,6.551971326,0.174796748,0.113157895
77,264.138,189.88,7,13.09135083,0.351916376,0.07593985
78,282.644,188.73,0,0.666666667,0,0.002631579
79,201.779,191.449,80,7.162561576,0.224489796,0.115789474
80,221.072,190.715,118,5.666180049,0.203551913,0.130701754
81,245.746,191.007,64,2.048,0.155844156,0.063157895
82,251.948,190.607,47,2.41509434,0.157142857,0.057894737
83,288.004,191.32,0,0.857142857,0,0.001503759
84,208.77,192.802,75,1.376039933,0.146258503,0.075438596
85,230.225,192.264,95,5.192349727,0.149180328,0.095789474
86,276.04,193.747,0,4.736263736,0.232142857,0.009774436
87,296.175,198.666,0,0.857142857,0,0.001503759
88,300.526,193.587,0,1,0,0.000877193
89,306.517,195.432,0,0,0,0
90,325.941,196.248,0,0,0,0
91,331.878,197.229,0,1,0,0.000877193
92,343.602,191.746,1,0.833333333,0,0.004385965
93,348.892,193.712,0,1.444444444,0,0.002631579
94,354.594,195.151,0,2,0,0.001754386
95,361.191,195.843,0,0,0,0
96,368.208,197.672,0,0,0,0
97,380.589,198.066,0,0.833333333,0,0.001754386
98,336.764,191.766,0,0.833333333,0,0.001754386
99,374.311,196.984,0,0,0,0
100,297.156,167.485,0,0,0,0
101,306.149,169.532,0,0,0,0
102,316.968,170.215,0,0,0,0
103,300.867,171.936,0,0,0,0
104,323.23,172.089,0,0,0,0
105,311.364,173.81,0,0,0,0
106,330.259,172.992,0,1,0,0.001315789
107,295.649,174.733,0,0,0,0
108,305.374,176.53,0,0,0,0
109,336.909,174.921,1,1,0,0.005263158
110,342.801,172.366,0,1,0,0.001754386
111,316.321,176.937,0,0,0,0
112,348.879,175.472,0,0,0,0
114,299.309,179.454,0,0,0,0
115,326.844,177.561,0,0,0,0
116,360.853,176.773,0,0,0,0
117,321.248,179.08,0,0,0,0
118,332.113,180.287,0,1,0,0.000877193
119,343.903,179.056,0,1,0,0.000877193
120,310.651,180.415,0,0,0,0
121,337.871,181.2,0,1,0,0.001052632
122,368.09,178.818,0,0,0,0
123,355.335,182.1,0,2,0,0.001754386
124,304.904,183.115,0,0,0,0
125,315.614,183.868,0,0,0,0
126,348.237,184.264,0,1.476190476,0,0.002255639
127,362.322,182.893,0,0,0,0
129,326.946,184.654,0,0,0,0
130,374.158,184.098,0,0,0,0
131,368.297,184.659,0,0,0,0
132,320.684,185.967,0,0,0,0
133,299.265,186.825,0,1,0,0.000877193
134,341.481,185.908,0,1,0,0.000877193
135,334.046,186.628,0,0,0,0
136,310.679,188.144,0,0,0,0
137,352.65,188.118,2,2,0,0.010526316
138,386.348,186.299,0,1,0,0.001754386
139,379.353,190.298,0,1,0,0.000877193
140,358.822,188.929,0,2,0,0.001754386
141,305.005,189.36,0,0,0,0
142,365.242,190.242,0,0,0,0
143,372.073,190.834,0,0,0,0
144,316.599,191.997,0,0,0,0
145,322.803,191.103,0,0,0,0
146,329.483,191.122,0,0,0,0
147,385.473,193.245,1,1,0,0.005263158
148,311.787,195.624,0,0,0,0
149,390.92,196.83,0,1,0,0.000877193
150,396.106,193.373,0,0,0,0
151,407.578,196.104,0,0,0,0
152,400.058,188.155,0,0,0,0
153,391.516,189.738,0,1,0,0.001315789
154,402.247,193.942,0,0,0,0
155,412.15,192.505,0,0,0,0
156,100.554,229.925,75,2.426634769,0.237777778,0.093859649
157,96.4987,240.079,74,3.543230016,0.174107143,0.102631579
158,98.3849,245.018,89,4.427751196,0.18778626,0.129473684
159,97.2214,254.919,140,2.397966594,0.115768463,0.101754386
160,94.9318,259.983,167,2.504943503,0.224550898,0.197368421
161,98.217,271.823,143,1.59919478,0.117241379,0.089473684
162,97.8104,277.462,128,2.013965454,0.102298851,0.078070175
163,98.2482,282.912,117,0.803229814,0.140136054,0.108421053
164,77.0024,290.782,66,7.549160671,0.228228228,0.133333333
165,82.7545,291.081,99,4.359696157,0.151399491,0.104385965
166,91.6378,293.199,131,2.659461509,0.117117117,0.09122807
167,94.3599,226.531,51,4.087136929,0.235555556,0.092982456
168,91.4167,232.217,72,5.074324324,0.171568627,0.092105263
169,96.6277,234.625,63,2.245986985,0.162745098,0.087368421
170,84.3475,237.377,82,5.557894737,0.196078431,0.105263158
171,90.7575,237.668,102,2.607977208,0.210784314,0.113157895
172,87.4241,242.823,94,8.842530756,0.160283688,0.118947368
173,77.92,239.588,54,3.826330532,0.138211382,0.059649123
174,92.4278,244.849,98,4.834951456,0.128841608,0.095614035
175,81.5527,244.424,52,13.1836613,0.235224586,0.174561404
176,74.9107,246.168,50,4.123287671,0.122093023,0.055263158
177,86.4012,248.757,141,7.099182182,0.311043566,0.230827068
178,79.1148,250.22,86,14.60637681,0.218676123,0.162280702
179,94.2171,249.718,123,3.361111111,0.126477541,0.093859649
180,73.5394,252.611,50,5.164766839,0.206896552,0.094736842
181,83.3387,253.939,109,3.436752137,0.126477541,0.093859649
182,90.41,254.36,118,2.974554707,0.108782435,0.095614035
183,67.4323,255.718,48,1.281200632,0.097435897,0.033333333
184,77.5582,257.063,87,6.863354037,0.19047619,0.120300752
185,86.7273,258.911,119,5.340655106,0.117764471,0.103508772
186,71.3174,259.502,65,6.306695464,0.176666667,0.092982456
187,81.4209,262.032,120,3.461024499,0.126108374,0.096240602
188,64.5902,262.112,48,2.664772727,0.169230769,0.057894737
189,75.1689,263.942,100,4.648918469,0.193055556,0.121929825
190,90.0873,263.579,145,2.269790557,0.119760479,0.105263158
191,69.2079,266.074,65,6.759301443,0.173333333,0.09122807
192,85.424,267.375,128,2.953701211,0.108965517,0.083157895
193,96.6238,265.63,138,2.074305556,0.087824351,0.077192982
194,79.3701,268.624,90,5.007178107,0.175120773,0.127192982
195,63.4588,268.287,38,2.462343096,0.188461538,0.064473684
196,91.492,270.067,122,1.898978848,0.11954023,0.09122807
197,73.0373,270.723,74,4.056269113,0.158333333,0.083333333
198,67.433,272.941,49,4.08900084,0.216216216,0.084210526
199,78.2948,274.281,93,7.924459235,0.18115942,0.131578947
200,85.4246,273.72,138,3.25030525,0.173913043,0.126315789
201,60.2623,273.668,39,1.927536232,0.172413793,0.052631579
202,91.5354,276.123,100,1.596666667,0.233100233,0.175438596
203,72.1861,277.135,74,9.211250748,0.152777778,0.106140351
204,65.0189,278.436,58,8.596226415,0.25974026,0.105263158
205,77.8199,279.918,132,7.373092926,0.254658385,0.184962406
206,84.682,280.036,133,2.1514802,0.096618357,0.070175439
207,90.7964,281.912,136,2.232413693,0.117589893,0.090977444
208,70.0093,283.019,77,16.22380952,0.200757576,0.139473684
209,63.7718,283.783,21,10.3974359,0.536796537,0.21754386
210,75.7805,285.207,76,9.652380952,0.175757576,0.122105263
211,82.3104,285.455,101,6.909031199,0.195378151,0.139849624
212,95.3013,288.064,147,0.90617284,0.096846847,0.075438596
213,88.5335,287.872,127,2.617467582,0.105442177,0.081578947
214,70.6921,289.445,52,7.69271137,0.246753247,0.1
215,196.855,204.357,57,1.190981432,0.117647059,0.042105263
216,194.373,210.998,51,1.066847335,0.089552239,0.031578947
217,195.845,222.452,59,2.38647343,0.128691983,0.053508772
218,195.728,228.849,62,3.719022688,0.181434599,0.075438596
219,195.083,234.938,43,2.260819609,0.15437788,0.05037594
220,198.594,239.567,53,4.219876869,0.154471545,0.066666667
221,192.668,241.239,38,1.399478941,0.132075472,0.036842105
222,194.17,248.198,41,2.030107527,0.157738095,0.046491228
223,194.365,253.212,55,2.167539267,0.139705882,0.05
224,195.829,258.957,63,0.703092784,0.086486486,0.033684211
225,194.509,264.045,74,2.721693122,0.141353383,0.070676692
226,195.041,272.907,53,0.747368421,0.093333333,0.029473684
227,195.495,279.166,42,1.71037182,0.199608611,0.076691729
228,193.74,284.733,73,2.086666667,0.21369863,0.082105263
229,193.734,290.401,62,0.75134719,0.084474886,0.03245614
230,98.4137,294.089,148,1.72095151,0.104938272,0.089473684
231,107.226,290.288,162,2.701829925,0.21090535,0.179824561
232,121.758,291.319,97,2.674283154,0.119230769,0.081578947
233,127.649,293.793,124,2.322302158,0.232526882,0.151754386
234,133.451,291.315,80,1.86878453,0.220430108,0.143859649
235,151.958,293.57,104,1.693452381,0.094339623,0.052631579
236,163.348,294.4,105,2.751339764,0.179365079,0.099122807
237,168.277,291.448,64,3.293103448,0.163809524,0.090526316
238,176.117,293.909,100,2.631446541,0.283333333,0.149122807
239,181.154,293.446,69,1.894915254,0.124,0.065263158
240,186.052,294.099,75,0.778705637,0.105263158,0.042105263
241,114.945,290.789,130,4.379910895,0.155349794,0.13245614
242,144.02,197.023,31,1.893424036,0.191489362,0.047368421
243,153.408,199.139,48,2.830258303,0.232026144,0.062280702
244,183.086,198.238,54,2.512442396,0.322751323,0.091729323
245,161.767,198.84,51,2.354924579,0.240896359,0.064661654
246,190.582,199.682,47,3.320843091,0.179176755,0.055639098
247,174.552,200.571,44,1.676023392,0.151234568,0.042982456
248,147.342,202.449,47,1.581188997,0.179271709,0.048120301
249,140.55,201.969,40,1.053333333,0.123404255,0.030526316
250,134.937,201.334,38,1.262365591,0.134751773,0.033333333
251,168.258,202.704,30,1.209621993,0.264705882,0.071052632
252,157.864,203.7,36,0.859375,0.156862745,0.042105263
253,179.485,203.883,40,2.802553191,0.151851852,0.043157895
254,129.379,205.405,47,1.254854369,0.154255319,0.038157895
255,184.843,205.208,22,2.582774049,0.444444444,0.126315789
256,152.686,206.129,37,0.921235521,0.152941176,0.041052632
257,163.065,206.204,44,1.27,0.149019608,0.04
258,190.256,206.287,50,3.241758242,0.150877193,0.045263158
259,135.776,207.446,30,1.593220339,0.25297619,0.074561404
260,173.689,207.342,36,0.64957265,0.122222222,0.028947368
261,142.224,207.977,39,1.794055202,0.175595238,0.051754386
262,148.571,209.633,51,1.344515643,0.130541872,0.039849624
263,124.446,209.804,46,2.130864198,0.157446809,0.038947368
264,167.676,209.797,39,1.401705757,0.119897959,0.035338346
265,157.857,210.196,40,1.686980609,0.140394089,0.042857143
266,179.811,210.435,39,1.672862454,0.130434783,0.031578947
267,130.364,212.518,45,2.884277733,0.152380952,0.048120301
268,186.585,212.026,46,3.56747131,0.142857143,0.05037594
269,118.299,207.937,25,2.606060606,0.231884058,0.056140351
270,136.467,213.573,56,3.33442623,0.260233918,0.078070175
271,142.924,214.017,51,0.915254237,0.102339181,0.030701754
272,173.73,213.726,45,0.267836257,0.111111111,0.026315789
273,119.291,214.226,33,5.944812362,0.227699531,0.085087719
274,113.477,212.797,28,7.05,0.230769231,0.063157895
275,124.543,216.219,47,3.494039735,0.152112676,0.056842105
276,161.023,215.481,56,1.713043478,0.220689655,0.067368421
277,148.923,215.661,56,0.567307692,0.103448276,0.031578947
278,154.199,215.48,58,1.258175559,0.136160714,0.045864662
279,167.319,215.773,45,2.426573427,0.151785714,0.044736842
280,192.475,216.528,67,1.092940125,0.23880597,0.084210526
281,108.854,214.809,12,7.703125,0.480769231,0.131578947
282,179.744,217.042,41,0.631059631,0.096273292,0.023308271
283,128.823,219.302,60,4.631050228,0.223004695,0.083333333
284,185.447,218.009,45,2.571138211,0.121890547,0.042982456
285,115.555,219.116,52,11.70700637,0.297777778,0.11754386
286,133.329,220.294,27,3.141834299,0.420289855,0.152631579
287,138.404,219.994,57,2.620178042,0.186440678,0.057894737
288,103.534,218.084,25,7.422764228,0.379844961,0.085964912
289,145.669,220.286,44,1.111706881,0.174479167,0.05877193
290,173.868,220.166,40,1.912760417,0.17037037,0.040350877
291,109.026,221.404,43,9.74291939,0.228888889,0.090350877
292,121.392,221.631,71,3.620444444,0.286384977,0.107017544
293,155.871,221.162,46,2.070866142,0.15625,0.052631579
294,162.573,222.006,38,2.492849285,0.199404762,0.05877193
295,168.099,221.737,23,2.171428571,0.365957447,0.090526316
296,189.808,221.622,52,1.770418006,0.134328358,0.047368421
297,101.704,223.973,43,5.63890785,0.189333333,0.074736842
298,126.779,225.331,69,4.596067918,0.267605634,0.1
299,150.213,224.479,64,1.779761905,0.285714286,0.096240602
300,178.589,224.406,31,1.32750243,0.155279503,0.037593985
301,184.455,224.422,46,1.28221931,0.145604396,0.039849624
302,114.09,225.037,75,2.643887147,0.349333333,0.137894737
303,142.272,224.995,43,1.480254777,0.175,0.058947368
304,131.355,227.916,46,2.919124959,0.209109731,0.07593985
305,172.492,226.337,31,2.004366812,0.134751773,0.033333333
306,106.882,227.235,56,3.213266163,0.157777778,0.062280702
307,137.274,227.253,59,3.314567206,0.179591837,0.066165414
