Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
0,194.856,178.306,0,0,0,0
1,196.222,188.934,0,1,0,0.001369863
2,156.695,193.631,31,6.577956989,0.258474576,0.104452055
3,169.69,196.13,10,14.84469697,0.275,0.075342466
4,188.193,192.427,1,1.142857143,0,0.005870841
5,193.83,194.127,0,1,0,0.001141553
6,176.343,194.094,1,3.121212121,0.25,0.017123288
7,188.279,180.357,0,0,0,0
8,178.448,181.495,0,3,0.5,0.010273973
9,184.139,185.044,0,1.733333333,0,0.005707763
10,191.706,185.618,0,1,0,0.000978474
12,176.419,187.857,3,1.171428571,0.733333333,0.015068493
13,169.14,189.428,2,6.453125,0.375,0.04109589
15,182.456,191.289,1,0.8,0.266666667,0.005479452
16,163.768,193.116,16,12.13131313,0.36875,0.101027397
17,149.794,194.235,40,2.93287037,0.177966102,0.071917808
18,290.785,170.79,2,1.681818182,0.35,0.011986301
19,290.483,177.829,3,3.014492754,0.296296296,0.01826484
20,293.681,183.556,9,6,0.371428571,0.050880626
21,294.17,191.351,19,4.892436975,0.492857143,0.067514677
22,219.729,197.23,0,1,0,0.001369863
23,225.413,196.456,0,2,0,0.002739726
24,235.971,192.944,0,2,0,0.002283105
25,241.754,195.497,0,0,0,0
26,249.94,196.753,0,1,0,0.000978474
27,257.282,194.559,0,0,0,0
28,268.572,194.628,0,0,0,0
29,282.177,194.405,0,1.16,0,0.006849315
30,285.55,198.726,1,1.454545455,0.333333333,0.00913242
31,291.033,196.521,4,7.307692308,0.284210526,0.036986301
33,273.589,169.656,0,1,0,0.001712329
34,280.225,167.85,0,1,0,0.002283105
35,240.484,168.706,0,0,0,0
36,246.569,168.927,0,0,0,0
37,260.13,171.338,0,0,0,0
38,231.395,171.199,0,0,0,0
39,266.991,171.141,0,0,0,0
40,252.144,171.812,0,0,0,0
41,284.738,172.429,0,1.6,0.4,0.008219178
42,224.475,173.581,0,0,0,0
43,236.519,174.483,0,0,0,0
44,216.908,174.05,0,0,0,0
45,243.634,174.694,0,0,0,0
46,278.308,174.939,1,1,0,0.006849315
47,271.626,175.813,0,1,0,0.001141553
48,210.45,174.787,0,0,0,0
49,249.858,178.034,0,0,0,0
50,264.41,176.993,0,1,0,0.001141553
51,201.04,176.42,0,0,0,0
52,257.209,177.197,0,1,0,0.001141553
53,229.578,178.825,0,0,0,0
54,283.918,178.095,0,2.3,0.4,0.010958904
55,206.515,179.289,0,0,0,0
56,221.624,179.256,0,0,0,0
57,213.585,181.204,0,0,0,0
58,242.588,180.95,0,0,0,0
59,236.031,181.474,0,0,0,0
60,274.524,181.029,0,1,0,0.001141553
61,261.891,183.036,1,1,0,0.006849315
62,200.052,183.699,0,0,0,0
63,254.218,183.039,0,1,0,0.001141553
64,268.448,182.492,0,1,0,0.001141553
65,280.674,182.612,0,2.333333333,0.291666667,0.007990868
66,287.497,184.523,4,8.347985348,0.248120301,0.032289628
67,248.106,184.898,0,0,0,0
68,219.371,184.561,0,0,0,0
69,225.899,185.936,0,2,0,0.002283105
70,232.419,186.197,0,2,0,0.002283105
71,207.359,185.894,0,0,0,0
72,240.225,187.488,0,0,0,0
73,276.838,187.218,0,2,0,0.002739726
74,270.962,188.223,0,0,0,0
75,258.045,188.284,0,1,0,0.001369863
76,214.242,188.437,0,0,0,0
77,264.138,189.88,0,1,0,0.000978474
78,282.644,188.73,2,2.166666667,0.416666667,0.011415525
79,201.779,191.449,0,0,0,0
80,221.072,190.715,0,0,0,0
81,245.746,191.007,0,0,0,0
82,251.948,190.607,0,0,0,0
83,288.004,191.32,2,7.606271777,0.233082707,0.030332681
84,208.77,192.802,0,2,0,0.002283105
85,230.225,192.264,2,2,0,0.01369863
86,276.04,193.747,0,2,0,0.001956947
87,296.175,198.666,10,5.458553792,0.364285714,0.049902153
88,300.526,193.587,17,1.20610687,0.166666667,0.029680365
89,306.517,195.432,26,7.14084507,0.219298246,0.085616438
90,325.941,196.248,86,10.46722689,0.209223847,0.181996086
91,331.878,197.229,87,2.797005724,0.192307692,0.171232877
92,343.602,191.746,116,1.56754496,0.092875318,0.083333333
93,348.892,193.712,108,2.001745201,0.106870229,0.095890411
94,354.594,195.151,99,1.317481286,0.105691057,0.089041096
95,361.191,195.843,97,3.028189911,0.12704918,0.106164384
96,368.208,197.672,84,2.145061728,0.127147766,0.084474886
97,380.589,198.066,40,8.542920847,0.293010753,0.124429224
98,336.764,191.766,108,1.863293387,0.091025641,0.081050228
99,374.311,196.984,60,4.97369863,0.192857143,0.110958904
100,297.156,167.485,1,1.619047619,0.555555556,0.02283105
101,306.149,169.532,11,15.67313916,0.511111111,0.157534247
102,316.968,170.215,31,5.68,0.378109453,0.173515982
103,300.867,171.936,6,18.13023256,0.275555556,0.084931507
104,323.23,172.089,67,4.784864865,0.157142857,0.090410959
105,311.364,173.81,41,7.298305085,0.229508197,0.095890411
106,330.259,172.992,64,1.980769231,0.186170213,0.119863014
107,295.649,174.733,5,5.393939394,0.25,0.030821918
108,305.374,176.53,45,10.07142857,0.436170213,0.140410959
109,336.909,174.921,81,7.363557484,0.194117647,0.135616438
110,342.801,172.366,36,7.217391304,0.523809524,0.301369863
111,316.321,176.937,61,4.857843137,0.256218905,0.117579909
112,348.879,175.472,75,8.639030612,0.228365385,0.162671233
114,299.309,179.454,18,10.8956743,0.27037037,0.083333333
115,326.844,177.561,84,6.455060729,0.173770492,0.145205479
