Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
0,194.856,178.306,0,1,0,0.001602564
1,196.222,188.934,0,0.8,0,0.002564103
2,156.695,193.631,0,0,0,0
3,169.69,196.13,0,0,0,0
4,188.193,192.427,0,0,0,0
5,193.83,194.127,0,1,0,0.001068376
6,176.343,194.094,0,0,0,0
7,188.279,180.357,0,0,0,0
8,178.448,181.495,0,0,0,0
9,184.139,185.044,0,0,0,0
10,191.706,185.618,0,1,0,0.000915751
12,176.419,187.857,0,0,0,0
13,169.14,189.428,0,0,0,0
15,182.456,191.289,0,0,0,0
16,163.768,193.116,0,0,0,0
17,149.794,194.235,0,0,0,0
18,290.785,170.79,68,9.119760479,0.209183673,0.131410256
19,290.483,177.829,98,7.726851852,0.192982456,0.164529915
20,293.681,183.556,133,4.703051863,0.323308271,0.275641026
21,294.17,191.351,103,3.625532703,0.134264232,0.114468864
22,219.729,197.23,6,2.525,0.327272727,0.023076923
23,225.413,196.456,11,1.376,0.3,0.023076923
24,235.971,192.944,24,15.45550528,0.282608696,0.125
25,241.754,195.497,52,11.16399695,0.271043771,0.172008547
26,249.94,196.753,99,4.299609205,0.199460916,0.135531136
27,257.282,194.559,93,2.429989551,0.103174603,0.069444444
28,268.572,194.628,114,2.331236897,0.236842105,0.173076923
29,282.177,194.405,91,0.915714286,0.057657658,0.041025641
30,285.55,198.726,111,1.18647343,0.141025641,0.105769231
31,291.033,196.521,92,1.092146597,0.081081081,0.057692308
33,273.589,169.656,64,1.331265509,0.233146067,0.133012821
34,280.225,167.85,77,1.363834423,0.097378277,0.055555556
35,240.484,168.706,10,19.43654822,0.448170732,0.235576923
36,246.569,168.927,38,21.19354839,0.47826087,0.282051282
37,260.13,171.338,80,3.524390244,0.182539683,0.147435897
38,231.395,171.199,21,10.04761905,0.27173913,0.080128205
39,266.991,171.141,86,2.941176471,0.118055556,0.081730769
40,252.144,171.812,92,9.43715415,0.180952381,0.146153846
41,284.738,172.429,76,4.207561437,0.147107438,0.114102564
42,224.475,173.581,14,3.295081967,0.273809524,0.036858974
43,236.519,174.483,46,17.63037634,0.296747967,0.155982906
44,216.908,174.05,6,4,0.285714286,0.025641026
45,243.634,174.694,82,16.31509121,0.369565217,0.217948718
46,278.308,174.939,89,3.714484403,0.131050767,0.101648352
47,271.626,175.813,87,2.294725394,0.104938272,0.072649573
48,210.45,174.787,2,1.102564103,0.277777778,0.010683761
49,249.858,178.034,88,9.546412113,0.166666667,0.134615385
50,264.41,176.993,108,3.349135802,0.157407407,0.127136752
51,201.04,176.42,0,2,0.444444444,0.008547009
52,257.209,177.197,126,2.473659004,0.246031746,0.198717949
53,229.578,178.825,14,7.275261324,0.211180124,0.062271062
54,283.918,178.095,121,2.47357513,0.242975207,0.188461538
55,206.515,179.289,3,0.733333333,0.6,0.011538462
56,221.624,179.256,6,4.502824859,0.364583333,0.037393162
57,213.585,181.204,2,1.333333333,0.285714286,0.010989011
58,242.588,180.95,46,8.583707025,0.299242424,0.168803419
59,236.031,181.474,29,11.56756757,0.289855072,0.128205128
60,274.524,181.029,100,1.358735096,0.119047619,0.080128205
61,261.891,183.036,109,2.061488673,0.100529101,0.081196581
62,200.052,183.699,1,1.428571429,0,0.005494505
63,254.218,183.039,93,4.574712644,0.14021164,0.113247863
64,268.448,182.492,79,1.762192056,0.168195719,0.117521368
65,280.674,182.612,105,1.602693603,0.101928375,0.079059829
66,287.497,184.523,90,2.707350902,0.124597207,0.106227106
67,248.106,184.898,86,3.862179487,0.17921147,0.106837607
68,219.371,184.561,1,5.993548387,0.3125,0.032051282
69,225.899,185.936,16,4.485294118,0.444444444,0.051282051
70,232.419,186.197,18,15.72037037,0.198067633,0.087606838
71,207.359,185.894,1,0.527777778,0.277777778,0.00534188
72,240.225,187.488,69,13.08173419,0.335548173,0.184981685
73,276.838,187.218,104,1.27544484,0.121904762,0.082051282
74,270.962,188.223,79,1.818090955,0.166666667,0.121794872
75,258.045,188.284,105,3.318716578,0.141284404,0.098717949
76,214.242,188.437,3,0.435897436,0.444444444,0.008547009
77,264.138,189.88,101,1.835221995,0.111528822,0.081501832
78,282.644,188.73,84,0.670234455,0.104761905,0.070512821
79,201.779,191.449,1,0.428571429,0,0.002747253
